,from,to,value
23584,Macao,Mozambique,visa on arrival
23585,Madagascar,Mozambique,visa on arrival
23586,Malawi,Mozambique,visa free
23587,Malaysia,Mozambique,visa on arrival
23588,Maldives,Mozambique,visa on arrival
23589,Mali,Mozambique,visa on arrival
23590,Malta,Mozambique,visa on arrival
23591,Marshall Islands,Mozambique,visa on arrival
23592,Mauritania,Mozambique,visa on arrival
23593,Mauritius,Mozambique,visa free
23594,Mexico,Mozambique,visa on arrival
23595,Micronesia,Mozambique,visa on arrival
23596,Moldova,Mozambique,visa on arrival
23597,Monaco,Mozambique,visa on arrival
23598,Mongolia,Mozambique,visa on arrival
23599,Montenegro,Mozambique,visa on arrival
23600,Morocco,Mozambique,visa on arrival
23602,Myanmar,Mozambique,visa on arrival
23603,Namibia,Mozambique,visa on arrival
23604,Nauru,Mozambique,visa on arrival
23605,Nepal,Mozambique,visa on arrival
23606,Netherlands,Mozambique,30
23607,New Zealand,Mozambique,visa on arrival
23608,Nicaragua,Mozambique,visa on arrival
23609,Niger,Mozambique,visa on arrival
23610,Nigeria,Mozambique,visa on arrival
23611,North Korea,Mozambique,visa on arrival
23612,North Macedonia,Mozambique,visa on arrival
23613,Norway,Mozambique,30
23614,Oman,Mozambique,visa on arrival
23615,Pakistan,Mozambique,e-visa
23616,Palau,Mozambique,visa on arrival
23617,Palestine,Mozambique,visa on arrival
23618,Panama,Mozambique,visa on arrival
23619,Papua New Guinea,Mozambique,visa on arrival
23620,Paraguay,Mozambique,visa on arrival
23621,Peru,Mozambique,visa on arrival
23622,Philippines,Mozambique,visa on arrival
23623,Poland,Mozambique,visa on arrival
23624,Portugal,Mozambique,30
23625,Qatar,Mozambique,visa on arrival
23626,Romania,Mozambique,visa on arrival
23627,Russia,Mozambique,30
23628,Rwanda,Mozambique,visa on arrival
23629,Saint Kitts and Nevis,Mozambique,visa on arrival
23630,Saint Lucia,Mozambique,visa on arrival
23631,Samoa,Mozambique,visa on arrival
23632,San Marino,Mozambique,visa on arrival
23633,Sao Tome and Principe,Mozambique,visa on arrival
23634,Saudi Arabia,Mozambique,30
23635,Senegal,Mozambique,30
23636,Serbia,Mozambique,visa on arrival
23637,Seychelles,Mozambique,visa on arrival
23638,Sierra Leone,Mozambique,visa on arrival
23639,Singapore,Mozambique,30
23640,Slovakia,Mozambique,visa on arrival
23641,Slovenia,Mozambique,visa on arrival
23642,Solomon Islands,Mozambique,visa on arrival
23643,Somalia,Mozambique,e-visa
23644,South Africa,Mozambique,visa free
23645,South Korea,Mozambique,30
23646,South Sudan,Mozambique,visa on arrival
23647,Spain,Mozambique,30
23648,Sri Lanka,Mozambique,e-visa
23649,Saint Vincent and the Grenadines,Mozambique,visa on arrival
23650,Sudan,Mozambique,visa on arrival
23651,Suriname,Mozambique,visa on arrival
23652,Sweden,Mozambique,30
23653,Switzerland,Mozambique,30
23654,Syria,Mozambique,visa on arrival
23655,Taiwan,Mozambique,visa on arrival
23656,Tajikistan,Mozambique,visa on arrival
23657,Tanzania,Mozambique,visa free
23658,Thailand,Mozambique,visa on arrival
23659,Timor-Leste,Mozambique,visa on arrival
23660,Togo,Mozambique,visa on arrival
23661,Tonga,Mozambique,visa on arrival
23662,Trinidad and Tobago,Mozambique,visa on arrival
23663,Tunisia,Mozambique,visa on arrival
23664,Turkey,Mozambique,visa on arrival
23665,Turkmenistan,Mozambique,visa on arrival
23666,Tuvalu,Mozambique,visa on arrival
23667,Uganda,Mozambique,visa on arrival
23668,Ukraine,Mozambique,30
23669,United Arab Emirates,Mozambique,30
23670,United Kingdom,Mozambique,30
23671,United States,Mozambique,30
23672,Uruguay,Mozambique,visa on arrival
23673,Uzbekistan,Mozambique,visa on arrival
23674,Vanuatu,Mozambique,visa on arrival
23675,Vatican,Mozambique,visa on arrival
23676,Venezuela,Mozambique,visa on arrival
23677,Vietnam,Mozambique,visa on arrival
23678,Yemen,Mozambique,visa on arrival
23679,Zambia,Mozambique,visa free
23680,Zimbabwe,Mozambique,visa free
23681,Afghanistan,Myanmar,visa required
23682,Albania,Myanmar,e-visa
23683,Algeria,Myanmar,e-visa
23684,Andorra,Myanmar,visa required
23685,Angola,Myanmar,visa required
23686,Antigua and Barbuda,Myanmar,visa required
23687,Argentina,Myanmar,e-visa
23688,Armenia,Myanmar,visa required
23689,Australia,Myanmar,e-visa
23690,Austria,Myanmar,e-visa
23691,Azerbaijan,Myanmar,visa required
23692,Bahamas,Myanmar,visa required
23693,Bahrain,Myanmar,visa required
23694,Bangladesh,Myanmar,e-visa
23695,Barbados,Myanmar,visa required
23696,Belarus,Myanmar,e-visa
23697,Belgium,Myanmar,e-visa
23698,Belize,Myanmar,visa required
23699,Benin,Myanmar,visa required
23700,Bhutan,Myanmar,e-visa
23701,Bolivia,Myanmar,e-visa
23702,Bosnia and Herzegovina,Myanmar,e-visa
23703,Botswana,Myanmar,visa required
23704,Brazil,Myanmar,e-visa
23705,Brunei,Myanmar,14
23706,Bulgaria,Myanmar,e-visa
23707,Burkina Faso,Myanmar,visa required
23708,Burundi,Myanmar,visa required
23709,Cambodia,Myanmar,14
23710,Cameroon,Myanmar,e-visa
23711,Canada,Myanmar,e-visa
23712,Cape Verde,Myanmar,visa required
23713,Central African Republic,Myanmar,visa required
23714,Chad,Myanmar,visa required
23715,Chile,Myanmar,e-visa
23716,China,Myanmar,visa on arrival
23717,Colombia,Myanmar,e-visa
23718,Comoros,Myanmar,visa required
23719,Congo,Myanmar,visa required
23720,DR Congo,Myanmar,visa required
23721,Costa Rica,Myanmar,e-visa
23722,Ivory Coast,Myanmar,e-visa
23723,Croatia,Myanmar,e-visa
23724,Cuba,Myanmar,visa required
23725,Cyprus,Myanmar,e-visa
23726,Czech Republic,Myanmar,e-visa
23727,Denmark,Myanmar,e-visa
23728,Djibouti,Myanmar,visa required
23729,Dominica,Myanmar,visa required
23730,Dominican Republic,Myanmar,visa required
23731,Ecuador,Myanmar,e-visa
23732,Egypt,Myanmar,e-visa
23733,El Salvador,Myanmar,visa required
23734,Equatorial Guinea,Myanmar,visa required
23735,Eritrea,Myanmar,e-visa
23736,Estonia,Myanmar,e-visa
23737,Swaziland,Myanmar,visa required
23738,Ethiopia,Myanmar,visa required
23739,Fiji,Myanmar,e-visa
23740,Finland,Myanmar,e-visa
23741,France,Myanmar,e-visa
23742,Gabon,Myanmar,visa required
23743,Gambia,Myanmar,visa required
23744,Georgia,Myanmar,e-visa
23745,Germany,Myanmar,e-visa
23746,Ghana,Myanmar,e-visa
23747,Greece,Myanmar,e-visa
23748,Grenada,Myanmar,visa required
23749,Guatemala,Myanmar,e-visa
23750,Guinea,Myanmar,e-visa
23751,Guinea-Bissau,Myanmar,visa required
23752,Guyana,Myanmar,visa required
23753,Haiti,Myanmar,visa required
23754,Honduras,Myanmar,visa required
23755,Hong Kong,Myanmar,e-visa
23756,Hungary,Myanmar,e-visa
23757,Iceland,Myanmar,e-visa
23758,India,Myanmar,visa on arrival
23759,Indonesia,Myanmar,14
23760,Iran,Myanmar,visa required
23761,Iraq,Myanmar,visa required
23762,Ireland,Myanmar,e-visa
23763,Israel,Myanmar,e-visa
23764,Italy,Myanmar,e-visa
23765,Jamaica,Myanmar,e-visa
23766,Japan,Myanmar,e-visa
23767,Jordan,Myanmar,e-visa
23768,Kazakhstan,Myanmar,e-visa
23769,Kenya,Myanmar,e-visa
23770,Kiribati,Myanmar,visa required
23771,Kosovo,Myanmar,visa required
23772,Kuwait,Myanmar,e-visa
23773,Kyrgyzstan,Myanmar,e-visa
23774,Laos,Myanmar,14
23775,Latvia,Myanmar,e-visa
23776,Lebanon,Myanmar,visa required
23777,Lesotho,Myanmar,visa required
23778,Liberia,Myanmar,visa required
23779,Libya,Myanmar,visa required
23780,Liechtenstein,Myanmar,visa required
23781,Lithuania,Myanmar,e-visa
23782,Luxembourg,Myanmar,e-visa
23783,Macao,Myanmar,e-visa
23784,Madagascar,Myanmar,visa required
23785,Malawi,Myanmar,visa required
23786,Malaysia,Myanmar,e-visa
23787,Maldives,Myanmar,e-visa
23788,Mali,Myanmar,visa required
23789,Malta,Myanmar,e-visa
23790,Marshall Islands,Myanmar,visa required
23791,Mauritania,Myanmar,visa required
23792,Mauritius,Myanmar,e-visa
23793,Mexico,Myanmar,e-visa
23794,Micronesia,Myanmar,visa required
23795,Moldova,Myanmar,visa required
23796,Monaco,Myanmar,e-visa
23797,Mongolia,Myanmar,e-visa
23798,Montenegro,Myanmar,visa required
23799,Morocco,Myanmar,e-visa
23800,Mozambique,Myanmar,visa required
23802,Namibia,Myanmar,visa required
23803,Nauru,Myanmar,visa required
23804,Nepal,Myanmar,e-visa
23805,Netherlands,Myanmar,e-visa
23806,New Zealand,Myanmar,e-visa
23807,Nicaragua,Myanmar,visa required
23808,Niger,Myanmar,visa required
23809,Nigeria,Myanmar,visa required
23810,North Korea,Myanmar,visa required
23811,North Macedonia,Myanmar,visa required
23812,Norway,Myanmar,e-visa
23813,Oman,Myanmar,visa required
23814,Pakistan,Myanmar,e-visa
23815,Palau,Myanmar,visa required
23816,Palestine,Myanmar,visa required
23817,Panama,Myanmar,e-visa
23818,Papua New Guinea,Myanmar,visa required
23819,Paraguay,Myanmar,visa required
23820,Peru,Myanmar,e-visa
23821,Philippines,Myanmar,14
23822,Poland,Myanmar,e-visa
23823,Portugal,Myanmar,e-visa
23824,Qatar,Myanmar,e-visa
23825,Romania,Myanmar,e-visa
23826,Russia,Myanmar,30
23827,Rwanda,Myanmar,visa required
23828,Saint Kitts and Nevis,Myanmar,visa required
23829,Saint Lucia,Myanmar,visa required
23830,Samoa,Myanmar,visa required
23831,San Marino,Myanmar,visa required
23832,Sao Tome and Principe,Myanmar,visa required
23833,Saudi Arabia,Myanmar,e-visa
23834,Senegal,Myanmar,visa required
23835,Serbia,Myanmar,e-visa
23836,Seychelles,Myanmar,visa required
23837,Sierra Leone,Myanmar,visa required
23838,Singapore,Myanmar,30
23839,Slovakia,Myanmar,e-visa
23840,Slovenia,Myanmar,e-visa
23841,Solomon Islands,Myanmar,visa required
23842,Somalia,Myanmar,visa required
23843,South Africa,Myanmar,e-visa
23844,South Korea,Myanmar,e-visa
23845,South Sudan,Myanmar,visa required
23846,Spain,Myanmar,e-visa
23847,Sri Lanka,Myanmar,e-visa
23848,Saint Vincent and the Grenadines,Myanmar,visa required
23849,Sudan,Myanmar,visa required
23850,Suriname,Myanmar,visa required
23851,Sweden,Myanmar,e-visa
23852,Switzerland,Myanmar,e-visa
23853,Syria,Myanmar,visa required
23854,Taiwan,Myanmar,e-visa
23855,Tajikistan,Myanmar,visa required
23856,Tanzania,Myanmar,visa required
23857,Thailand,Myanmar,14
23858,Timor-Leste,Myanmar,visa required
23859,Togo,Myanmar,visa required
23860,Tonga,Myanmar,visa required
23861,Trinidad and Tobago,Myanmar,visa required
23862,Tunisia,Myanmar,visa required
23863,Turkey,Myanmar,e-visa
23864,Turkmenistan,Myanmar,visa required
23865,Tuvalu,Myanmar,visa required
23866,Uganda,Myanmar,e-visa
23867,Ukraine,Myanmar,e-visa
23868,United Arab Emirates,Myanmar,visa required
23869,United Kingdom,Myanmar,e-visa
23870,United States,Myanmar,e-visa
23871,Uruguay,Myanmar,e-visa
23872,Uzbekistan,Myanmar,e-visa
23873,Vanuatu,Myanmar,visa required
23874,Vatican,Myanmar,visa required
23875,Venezuela,Myanmar,e-visa
23876,Vietnam,Myanmar,14
23877,Yemen,Myanmar,visa required
23878,Zambia,Myanmar,visa required
23879,Zimbabwe,Myanmar,visa required
23880,Afghanistan,Namibia,visa required
23881,Albania,Namibia,visa required
23882,Algeria,Namibia,visa required
23883,Andorra,Namibia,visa required
23884,Angola,Namibia,90
23885,Antigua and Barbuda,Namibia,visa required
23886,Argentina,Namibia,visa on arrival
23887,Armenia,Namibia,90
23888,Australia,Namibia,90
23889,Austria,Namibia,90
23890,Azerbaijan,Namibia,90
23891,Bahamas,Namibia,visa required
23892,Bahrain,Namibia,visa required
23893,Bangladesh,Namibia,visa required
23894,Barbados,Namibia,visa required
23895,Belarus,Namibia,90
23896,Belgium,Namibia,90
23897,Belize,Namibia,visa required
23898,Benin,Namibia,visa on arrival
23899,Bhutan,Namibia,visa required
23900,Bolivia,Namibia,visa required
23901,Bosnia and Herzegovina,Namibia,visa required
23902,Botswana,Namibia,90
23903,Brazil,Namibia,90
23904,Brunei,Namibia,visa required
23905,Bulgaria,Namibia,visa on arrival
23906,Burkina Faso,Namibia,visa on arrival
23907,Burundi,Namibia,visa on arrival
23908,Cambodia,Namibia,visa on arrival
23909,Cameroon,Namibia,visa on arrival
23910,Canada,Namibia,90
23911,Cape Verde,Namibia,visa on arrival
23912,Central African Republic,Namibia,visa on arrival
23913,Chad,Namibia,visa on arrival
23914,Chile,Namibia,visa on arrival
23915,China,Namibia,visa required
23916,Colombia,Namibia,visa required
23917,Comoros,Namibia,visa on arrival
23918,Congo,Namibia,visa required
23919,DR Congo,Namibia,visa required
23920,Costa Rica,Namibia,visa required
23921,Ivory Coast,Namibia,visa on arrival
23922,Croatia,Namibia,visa on arrival
23923,Cuba,Namibia,90
23924,Cyprus,Namibia,visa required
23925,Czech Republic,Namibia,visa on arrival
23926,Denmark,Namibia,90
23927,Djibouti,Namibia,visa on arrival
23928,Dominica,Namibia,visa required
23929,Dominican Republic,Namibia,visa required
23930,Ecuador,Namibia,visa on arrival
23931,Egypt,Namibia,visa required
23932,El Salvador,Namibia,visa required
23933,Equatorial Guinea,Namibia,visa on arrival
23934,Eritrea,Namibia,visa on arrival
23935,Estonia,Namibia,visa on arrival
23936,Swaziland,Namibia,90
23937,Ethiopia,Namibia,visa required
23938,Fiji,Namibia,visa required
23939,Finland,Namibia,90
23940,France,Namibia,90
23941,Gabon,Namibia,visa on arrival
23942,Gambia,Namibia,visa on arrival
23943,Georgia,Namibia,visa required
23944,Germany,Namibia,90
23945,Ghana,Namibia,visa required
23946,Greece,Namibia,visa on arrival
23947,Grenada,Namibia,visa required
23948,Guatemala,Namibia,visa required
23949,Guinea,Namibia,visa on arrival
23950,Guinea-Bissau,Namibia,visa on arrival
23951,Guyana,Namibia,visa required
23952,Haiti,Namibia,visa required
23953,Honduras,Namibia,visa required
23954,Hong Kong,Namibia,90
23955,Hungary,Namibia,visa on arrival
23956,Iceland,Namibia,90
23957,India,Namibia,visa required
23958,Indonesia,Namibia,30
23959,Iran,Namibia,visa required
23960,Iraq,Namibia,visa required
23961,Ireland,Namibia,90
23962,Israel,Namibia,visa on arrival
23963,Italy,Namibia,90
23964,Jamaica,Namibia,90
23965,Japan,Namibia,90
23966,Jordan,Namibia,visa required
23967,Kazakhstan,Namibia,90
23968,Kenya,Namibia,90
23969,Kiribati,Namibia,visa required
23970,Kosovo,Namibia,visa required
23971,Kuwait,Namibia,visa required
23972,Kyrgyzstan,Namibia,90
23973,Laos,Namibia,visa required
23974,Latvia,Namibia,visa on arrival
23975,Lebanon,Namibia,visa required
23976,Lesotho,Namibia,90
23977,Liberia,Namibia,visa on arrival
23978,Libya,Namibia,visa required
23979,Liechtenstein,Namibia,90
23980,Lithuania,Namibia,visa on arrival
23981,Luxembourg,Namibia,90
23982,Macao,Namibia,90
23983,Madagascar,Namibia,visa on arrival
23984,Malawi,Namibia,90
23985,Malaysia,Namibia,90
23986,Maldives,Namibia,visa required
23987,Mali,Namibia,visa required
23988,Malta,Namibia,visa required
23989,Marshall Islands,Namibia,visa required
23990,Mauritania,Namibia,visa on arrival
23991,Mauritius,Namibia,90
23992,Mexico,Namibia,visa on arrival
23993,Micronesia,Namibia,visa required
23994,Moldova,Namibia,90
23995,Monaco,Namibia,visa required
23996,Mongolia,Namibia,visa required
23997,Montenegro,Namibia,visa required
23998,Morocco,Namibia,visa required
23999,Mozambique,Namibia,90
24000,Myanmar,Namibia,visa required
24002,Nauru,Namibia,visa required
24003,Nepal,Namibia,visa required
24004,Netherlands,Namibia,90
24005,New Zealand,Namibia,90
24006,Nicaragua,Namibia,visa on arrival
24007,Niger,Namibia,visa on arrival
24008,Nigeria,Namibia,visa required
24009,North Korea,Namibia,visa required
24010,North Macedonia,Namibia,visa required
24011,Norway,Namibia,90
24012,Oman,Namibia,visa required
24013,Pakistan,Namibia,visa required
24014,Palau,Namibia,visa required
24015,Palestine,Namibia,visa required
24016,Panama,Namibia,visa required
24017,Papua New Guinea,Namibia,visa required
24018,Paraguay,Namibia,visa on arrival
24019,Peru,Namibia,visa on arrival
24020,Philippines,Namibia,visa required
24021,Poland,Namibia,visa on arrival
24022,Portugal,Namibia,90
24023,Qatar,Namibia,visa required
24024,Romania,Namibia,visa on arrival
24025,Russia,Namibia,90
24026,Rwanda,Namibia,visa on arrival
24027,Saint Kitts and Nevis,Namibia,visa required
24028,Saint Lucia,Namibia,visa required
24029,Samoa,Namibia,visa required
24030,San Marino,Namibia,visa required
24031,Sao Tome and Principe,Namibia,visa on arrival
24032,Saudi Arabia,Namibia,visa required
24033,Senegal,Namibia,visa required
24034,Serbia,Namibia,visa required
24035,Seychelles,Namibia,90
24036,Sierra Leone,Namibia,visa on arrival
24037,Singapore,Namibia,90
24038,Slovakia,Namibia,visa on arrival
24039,Slovenia,Namibia,visa required
24040,Solomon Islands,Namibia,visa required
24041,Somalia,Namibia,visa required
24042,South Africa,Namibia,90
24043,South Korea,Namibia,visa on arrival
24044,South Sudan,Namibia,visa required
24045,Spain,Namibia,90
24046,Sri Lanka,Namibia,visa required
24047,Saint Vincent and the Grenadines,Namibia,visa required
24048,Sudan,Namibia,visa required
24049,Suriname,Namibia,visa required
24050,Sweden,Namibia,90
24051,Switzerland,Namibia,90
24052,Syria,Namibia,visa required
24053,Taiwan,Namibia,visa required
24054,Tajikistan,Namibia,90
24055,Tanzania,Namibia,90
24056,Thailand,Namibia,visa on arrival
24057,Timor-Leste,Namibia,visa required
24058,Togo,Namibia,visa on arrival
24059,Tonga,Namibia,visa required
24060,Trinidad and Tobago,Namibia,visa required
24061,Tunisia,Namibia,visa on arrival
24062,Turkey,Namibia,visa on arrival
24063,Turkmenistan,Namibia,90
24064,Tuvalu,Namibia,visa required
24065,Uganda,Namibia,visa on arrival
24066,Ukraine,Namibia,90
24067,United Arab Emirates,Namibia,visa on arrival
24068,United Kingdom,Namibia,90
24069,United States,Namibia,90
24070,Uruguay,Namibia,visa on arrival
24071,Uzbekistan,Namibia,90
24072,Vanuatu,Namibia,visa required
24073,Vatican,Namibia,visa on arrival
24074,Venezuela,Namibia,visa on arrival
24075,Vietnam,Namibia,visa on arrival
24076,Yemen,Namibia,visa required
24077,Zambia,Namibia,90
24078,Zimbabwe,Namibia,90
24079,Afghanistan,Nauru,visa required
24080,Albania,Nauru,visa required
24081,Algeria,Nauru,visa required
24082,Andorra,Nauru,visa required
24083,Angola,Nauru,visa required
24084,Antigua and Barbuda,Nauru,visa required
24085,Argentina,Nauru,visa required
24086,Armenia,Nauru,visa required
24087,Australia,Nauru,visa required
24088,Austria,Nauru,visa required
24089,Azerbaijan,Nauru,visa required
24090,Bahamas,Nauru,visa required
24091,Bahrain,Nauru,visa required
24092,Bangladesh,Nauru,visa required
24093,Barbados,Nauru,visa required
24094,Belarus,Nauru,visa required
24095,Belgium,Nauru,visa required
24096,Belize,Nauru,visa required
24097,Benin,Nauru,visa required
24098,Bhutan,Nauru,visa required
24099,Bolivia,Nauru,visa required
24100,Bosnia and Herzegovina,Nauru,visa required
24101,Botswana,Nauru,visa required
24102,Brazil,Nauru,visa required
24103,Brunei,Nauru,visa required
24104,Bulgaria,Nauru,visa required
24105,Burkina Faso,Nauru,visa required
24106,Burundi,Nauru,visa required
24107,Cambodia,Nauru,visa required
24108,Cameroon,Nauru,visa required
24109,Canada,Nauru,visa required
24110,Cape Verde,Nauru,visa required
24111,Central African Republic,Nauru,visa required
24112,Chad,Nauru,visa required
24113,Chile,Nauru,visa required
24114,China,Nauru,visa required
24115,Colombia,Nauru,visa required
24116,Comoros,Nauru,visa required
24117,Congo,Nauru,visa required
24118,DR Congo,Nauru,visa required
24119,Costa Rica,Nauru,visa required
24120,Ivory Coast,Nauru,visa required
24121,Croatia,Nauru,visa required
24122,Cuba,Nauru,visa required
24123,Cyprus,Nauru,visa required
24124,Czech Republic,Nauru,visa required
24125,Denmark,Nauru,visa required
24126,Djibouti,Nauru,visa required
24127,Dominica,Nauru,visa required
24128,Dominican Republic,Nauru,visa required
24129,Ecuador,Nauru,visa required
24130,Egypt,Nauru,visa required
24131,El Salvador,Nauru,visa required
24132,Equatorial Guinea,Nauru,visa required
24133,Eritrea,Nauru,visa required
24134,Estonia,Nauru,visa required
24135,Swaziland,Nauru,visa required
24136,Ethiopia,Nauru,visa required
24137,Fiji,Nauru,visa on arrival
24138,Finland,Nauru,visa required
24139,France,Nauru,visa required
24140,Gabon,Nauru,visa required
24141,Gambia,Nauru,visa required
24142,Georgia,Nauru,visa required
24143,Germany,Nauru,visa required
24144,Ghana,Nauru,visa required
24145,Greece,Nauru,visa required
24146,Grenada,Nauru,visa required
24147,Guatemala,Nauru,visa required
24148,Guinea,Nauru,visa required
24149,Guinea-Bissau,Nauru,visa required
24150,Guyana,Nauru,visa required
24151,Haiti,Nauru,visa required
24152,Honduras,Nauru,visa required
24153,Hong Kong,Nauru,visa required
24154,Hungary,Nauru,visa required
24155,Iceland,Nauru,visa required
24156,India,Nauru,visa required
24157,Indonesia,Nauru,visa required
24158,Iran,Nauru,visa required
24159,Iraq,Nauru,visa required
24160,Ireland,Nauru,visa required
24161,Israel,Nauru,visa on arrival
24162,Italy,Nauru,visa required
24163,Jamaica,Nauru,visa required
24164,Japan,Nauru,visa required
24165,Jordan,Nauru,visa required
24166,Kazakhstan,Nauru,visa required
24167,Kenya,Nauru,visa required
24168,Kiribati,Nauru,visa required
24169,Kosovo,Nauru,visa required
24170,Kuwait,Nauru,visa required
24171,Kyrgyzstan,Nauru,visa required
24172,Laos,Nauru,visa required
24173,Latvia,Nauru,visa required
24174,Lebanon,Nauru,visa required
24175,Lesotho,Nauru,visa required
24176,Liberia,Nauru,visa required
24177,Libya,Nauru,visa required
24178,Liechtenstein,Nauru,visa required
24179,Lithuania,Nauru,visa required
24180,Luxembourg,Nauru,visa required
24181,Macao,Nauru,visa required
24182,Madagascar,Nauru,visa required
24183,Malawi,Nauru,visa required
24184,Malaysia,Nauru,visa required
24185,Maldives,Nauru,visa required
24186,Mali,Nauru,visa required
24187,Malta,Nauru,visa required
24188,Marshall Islands,Nauru,visa on arrival
24189,Mauritania,Nauru,visa required
24190,Mauritius,Nauru,visa required
24191,Mexico,Nauru,visa required
24192,Micronesia,Nauru,visa on arrival
24193,Moldova,Nauru,visa required
24194,Monaco,Nauru,visa required
24195,Mongolia,Nauru,visa required
24196,Montenegro,Nauru,visa required
24197,Morocco,Nauru,visa required
24198,Mozambique,Nauru,visa required
24199,Myanmar,Nauru,visa required
24200,Namibia,Nauru,visa required
24202,Nepal,Nauru,visa required
24203,Netherlands,Nauru,visa required
24204,New Zealand,Nauru,visa required
24205,Nicaragua,Nauru,visa required
24206,Niger,Nauru,visa required
24207,Nigeria,Nauru,visa required
24208,North Korea,Nauru,visa required
24209,North Macedonia,Nauru,visa required
24210,Norway,Nauru,visa required
24211,Oman,Nauru,visa required
24212,Pakistan,Nauru,visa required
24213,Palau,Nauru,visa on arrival
24214,Palestine,Nauru,visa required
24215,Panama,Nauru,visa required
24216,Papua New Guinea,Nauru,visa on arrival
24217,Paraguay,Nauru,visa required
24218,Peru,Nauru,visa required
24219,Philippines,Nauru,visa required
24220,Poland,Nauru,visa required
24221,Portugal,Nauru,visa required
24222,Qatar,Nauru,visa required
24223,Romania,Nauru,visa required
24224,Russia,Nauru,90
24225,Rwanda,Nauru,visa required
24226,Saint Kitts and Nevis,Nauru,visa required
24227,Saint Lucia,Nauru,visa required
24228,Samoa,Nauru,visa on arrival
24229,San Marino,Nauru,visa required
24230,Sao Tome and Principe,Nauru,visa required
24231,Saudi Arabia,Nauru,visa required
24232,Senegal,Nauru,visa required
24233,Serbia,Nauru,visa required
24234,Seychelles,Nauru,visa required
24235,Sierra Leone,Nauru,visa required
24236,Singapore,Nauru,visa required
24237,Slovakia,Nauru,visa required
24238,Slovenia,Nauru,visa required
24239,Solomon Islands,Nauru,visa on arrival
24240,Somalia,Nauru,visa required
24241,South Africa,Nauru,visa required
24242,South Korea,Nauru,visa required
24243,South Sudan,Nauru,visa required
24244,Spain,Nauru,90
24245,Sri Lanka,Nauru,visa required
24246,Saint Vincent and the Grenadines,Nauru,visa required
24247,Sudan,Nauru,visa required
24248,Suriname,Nauru,visa required
24249,Sweden,Nauru,visa required
24250,Switzerland,Nauru,visa required
24251,Syria,Nauru,visa required
24252,Taiwan,Nauru,visa required
24253,Tajikistan,Nauru,visa required
24254,Tanzania,Nauru,visa required
24255,Thailand,Nauru,visa required
24256,Timor-Leste,Nauru,visa required
24257,Togo,Nauru,visa required
24258,Tonga,Nauru,visa on arrival
24259,Trinidad and Tobago,Nauru,visa required
24260,Tunisia,Nauru,visa required
24261,Turkey,Nauru,visa required
24262,Turkmenistan,Nauru,visa required
24263,Tuvalu,Nauru,visa on arrival
24264,Uganda,Nauru,visa required
24265,Ukraine,Nauru,visa required
24266,United Arab Emirates,Nauru,visa free
24267,United Kingdom,Nauru,visa required
24268,United States,Nauru,visa required
24269,Uruguay,Nauru,visa required
24270,Uzbekistan,Nauru,visa required
24271,Vanuatu,Nauru,visa on arrival
24272,Vatican,Nauru,visa required
24273,Venezuela,Nauru,visa required
24274,Vietnam,Nauru,visa required
24275,Yemen,Nauru,visa required
24276,Zambia,Nauru,visa required
24277,Zimbabwe,Nauru,visa required
24278,Afghanistan,Nepal,visa required
24279,Albania,Nepal,visa on arrival
24280,Algeria,Nepal,visa on arrival
24281,Andorra,Nepal,visa on arrival
24282,Angola,Nepal,visa on arrival
24283,Antigua and Barbuda,Nepal,visa on arrival
24284,Argentina,Nepal,visa on arrival
24285,Armenia,Nepal,visa on arrival
24286,Australia,Nepal,visa on arrival
24287,Austria,Nepal,visa on arrival
24288,Azerbaijan,Nepal,visa on arrival
24289,Bahamas,Nepal,visa on arrival
24290,Bahrain,Nepal,visa on arrival
24291,Bangladesh,Nepal,visa on arrival
24292,Barbados,Nepal,visa on arrival
24293,Belarus,Nepal,visa on arrival
24294,Belgium,Nepal,visa on arrival
24295,Belize,Nepal,visa on arrival
24296,Benin,Nepal,visa on arrival
24297,Bhutan,Nepal,visa on arrival
24298,Bolivia,Nepal,visa on arrival
24299,Bosnia and Herzegovina,Nepal,visa on arrival
24300,Botswana,Nepal,visa on arrival
24301,Brazil,Nepal,visa on arrival
24302,Brunei,Nepal,visa on arrival
24303,Bulgaria,Nepal,visa on arrival
24304,Burkina Faso,Nepal,visa on arrival
24305,Burundi,Nepal,visa on arrival
24306,Cambodia,Nepal,visa on arrival
24307,Cameroon,Nepal,visa required
24308,Canada,Nepal,visa on arrival
24309,Cape Verde,Nepal,visa on arrival
24310,Central African Republic,Nepal,visa on arrival
24311,Chad,Nepal,visa on arrival
24312,Chile,Nepal,visa on arrival
24313,China,Nepal,visa on arrival
24314,Colombia,Nepal,visa on arrival
24315,Comoros,Nepal,visa on arrival
24316,Congo,Nepal,visa on arrival
24317,DR Congo,Nepal,visa on arrival
24318,Costa Rica,Nepal,visa on arrival
24319,Ivory Coast,Nepal,visa on arrival
24320,Croatia,Nepal,visa on arrival
24321,Cuba,Nepal,visa on arrival
24322,Cyprus,Nepal,visa on arrival
24323,Czech Republic,Nepal,visa on arrival
24324,Denmark,Nepal,visa on arrival
24325,Djibouti,Nepal,visa on arrival
24326,Dominica,Nepal,visa on arrival
24327,Dominican Republic,Nepal,visa on arrival
24328,Ecuador,Nepal,visa on arrival
24329,Egypt,Nepal,visa on arrival
